PID,Product Name,Category,Final Price,Initial Price,Color,Primary Color,Fabric
CL0036386, Ikat stripe print cotton knit dress, Dress,84.95,33.95, Blue/navy/white, Blue, Cotton Spandex
CL0030567, Feminine pleated knit dress, Dress,59.95,41.95, Navy blue, Navy blue, Cotton Spandex
CL0032320, Floral embellished chambray denim maxi dress, Dress,96.95,67.95, Deep indigo, Deep indigo, Cotton
CL0036700, Dot print cap sleeve shirt, Top,49.95,19.95, White/navy, White, Cotton
CL0036365, Layered asymmetric hem hacci knit top, Top,69.95,27.95, Blue, Blue, Polyester
CL0035569, Sash waist chambray dress, Dress,69.95,48.95, Indigo, Indigo, Cotton
CL0036404, Star signs stripe waist cotton dress, Dress,116.95,46.95, Cream/navy, Cream, Cotton
CL0035516, Floral vine print cotton dress, Dress,69.95,48.95, Off-white/teal multi, Off-white, Cotton Spandex
CL0036337, Circle print diamond knit dress, Dress,59.95,41.95, White/green/black, White, Cotton Spandex
CL0036375, Balloon print cotton knit dress, Dress,69.95,27.95, White/black, White, Cotton Spandex
CL0036422, Side button stripe knit tunic, Top,54.95,21.95, Sunset yellow/white, Sunset yellow, Cotton Spandex
CL0030370, Pleat waist poplin shirtdress, Dress,59.95,41.95, Deep navy, Deep navy, Cotton
CL0034667, Anchor embellished colorblock dress, Dress,86.95,60.95, White/deep navy, White, Cotton
CL0033768, Tie neck poplin dress, Dress,59.95,44.95, Black, Black, Cotton
CL0033569, Denim chambray full skirt, Skirt,69.95,48.95, Deep indigo, Deep indigo, Cotton
CL0036693, Graphic flying bird print cotton dress, Dress,89.95,35.95, Black/off-white, Black, Cotton
CL0034401, Chambray denim scallop trim shirt, Top,56.95,37.95, Indigo, Indigo, Cotton
CL0036459, Stretch crepe tailored shorts, Pant,58.95,35.95, Black, Black, Polyester Spandex
CL0035179, Virginia dress, Dress,66.95,66.95, Black, Black, Cotton
CL0035573, Havana dress, Dress,69.95,69.95, Black, Black, Cotton
CL0034047, Aurora dress, Dress,99.95,99.95, Black, Black, Cotton Nylon
CL0035322, Mandarin collar chambray shift dress, Dress,59.95,38.95, Indigo/black, Indigo, Cotton
CL0031510, Draped cotton knit top, Top,59.95,41.95, Deep navy, Deep navy, Cotton Spandex
CL0030235, Cotton knit curved waist dress, Dress,59.95,41.95, Navy blue, Navy blue, Cotton Spandex
CL0035941, Pink flamingo print jacquard dress, Dress,79.95,51.95, White/pink/black, White, Polyester
CL0029095, Maritime tee, Top,49.95,34.95, Bottle green, Bottle green, Cotton Spandex
CL0036440, Floral embellished knit peasant top, Top,71.95,28.95, Tomato red, Tomato red, Viscose
CL0032769, Floral spray embroidered dress, Dress,86.95,60.95, Navy blue/orange, Navy blue, Cotton Spandex
CL0036421, Paisley print sash tied sheath dress, Dress,119.95,47.95, Deep gray multi, Deep gray multi, Cotton
CL0036417, Asymmetric layered stretch crepe dress, Dress,109.95,65.95, Black, Black, Polyester Spandex
CL0036384, Banded V-neck graphic print dress, Dress,94.95,37.95, Olive/brown/off-white, Olive, Cotton
CL0036808, Blouson cotton knit dress, Dress,59.95,41.95, Deep navy, Deep navy, Cotton Spandex
CL0032116, Embellished cotton voile tunic dress, Dress,76.95,50.95, Off-white/deep navy, Off-white, Cotton
CL0036708, Contrast trim balloon print maxi dress, Dress,79.95,31.95, White/black, White, Cotton Spandex
CL0034907, Denim chambray sash tie shirt, Top,44.95,31.95, Deep indigo, Deep indigo, Cotton
CL0034412, Notch neck dandelion print cambric blouse, Top,39.95,19.95, Yellow/white, Yellow, Cotton
CL0034431, Two tone curved waist knit dress, Dress,74.95,56.95, Crimson/deep navy, Crimson, Cotton Spandex
CL0035999, Check print two-buckle belt dress, Dress,99.95,69.95, Cream multi, Cream multi, Cotton
CL0031441, Knot front jersey knit dress, Dress,64.95,45.95, Deep navy, Deep navy, Cotton Spandex
CL0031126, Cotton knit button-tabbed jacket, Jacket,69.95,48.95, Deep navy, Deep navy, Cotton Spandex
CL0036424, Floral lace bib cold shoulder top, Top,69.95,41.95, Black, Black, Polyester
CL0027920, Belted poplin skirt, Skirt,52.95,37.95, Black, Black, Cotton
CL0035268, Pleated cotton poplin midi skirt, Skirt,59.95,41.95, Black, Black, Cotton
CL0033754, Folk embellished cotton knit top, Top,71.95,53.95, Bottle green/black, Bottle green, Cotton Spandex
CL0036798, Citron floral print dress, Dress,64.95,45.95, Citron multi, Citron multi, Cotton Spandex
CL0036696, Embellished crinkle gauze caftan dress, Top,76.95,30.95, Pink/blue, Pink, Cotton
CL0036797, Vintage denim chambray dress, Dress,64.95,45.95, Indigo, Indigo, Cotton
CL0035507, Stretch twill wide leg pants, Pant,99.95,59.95, Navy, Navy, Cotton Polyester Spandex
CL0035581, Skater style cotton knit dress, Dress,64.95,45.95, Navy, Navy, Cotton Spandex
CL0036439, Cowl neck light jersey tunic, Top,49.95,19.95, Tomato red, Tomato red, Viscose Spandex
CL0036379, Split neck melange knit tunic dress, Dress,79.95,31.95, Denim blue, Denim blue, Polyester Rayon Spandex
CL0034234, Floral print chiffon peasant blouse, Top,49.95,29.95, Navy multi, Navy multi, Polyester
CL0036454, Stripe cotton knit oversized tee, Top,59.95,23.95, Black/beige, Black, Cotton Spandex
CL0036489, Elastic belted jersey knit dress, Dress,89.95,53.95, Loden green, Loden green, Viscose Spandex
CL0032643, Embellished bib voile trapeze dress, Dress,66.95,43.95, Cream, Cream, Cotton
CL0026994, Lilian dress, Dress,59.95,59.95, Black, Black, Cotton
CL0034997, Pastel floral cotton chambray dress, Dress,96.95,63.95, Indigo multi, Indigo multi, Cotton
CL0035962, Woven check halter dress, Dress,64.95,42.95, Loden/navy/off-white, Loden, Cotton
CL0035205, Floral embellished chambray shift dress, Dress,86.95,56.95, Indigo/red/beige, Indigo, Cotton
CL0035885, Tulle layer chambray floral dress, Dress,86.95,56.95, Deep indigo/black, Deep indigo, Cotton Polyester
CL0034298, Paisley print elephant border midi dress, Dress,64.95,42.95, Beige/black, Beige, Polyester Crepe de Chine
CL0036366, Floral embellished hacci knit dress, Dress,126.95,50.95, Blue/gold, Blue, Polyester
CL0036406, Floral tile print stretch cotton shift dress, Dress,94.95,37.95, Navy multi, Navy multi, Cotton Spandex
CL0036545, Roll tab sleeve melange knit tunic, Top,59.95,35.95, Light melange gray, Light melange gray, Viscose Spandex
CL0032028, Denim chambray cotton shirtdress, Dress,64.95,45.95, Deep indigo, Deep indigo, Cotton
CL0036396, Landscape art print stretch crepe dress, Dress,144.95,57.95, Multicolor, Multicolor, Polyester Spandex
CL0032757, Dahlia crinoline, Skirt,79.95,55.95, Black, Black, Polyester
CL0036725, Tropical floral print skater dress, Dress,89.95,35.95, Deep navy multi, Deep navy multi, Cotton Spandex
CL0036414, Sash tie jersey blouson dress, Dress,119.95,71.95, Heather gray, Heather gray, Viscose Spandex
CL0035605, Cowl neck birdsong dress, Dress,86.95,60.95, Navy blue, Navy blue, Cotton Spandex
CL0036492, Floral print mixed media maxi dress, Dress,74.95,37.95, Black multi, Black multi, Polyester Crepe de Chine
