pId,pName,clicks,carts,orders,conversion_rate
CL0033939_OS,Name N/A,1,0,1,1.0
CL0028517_OS,Name N/A,1,0,1,1.0
CL0035667,Feminine pleated floral cotton knit dress,1,0,1,1.0
CL0033330_OS,Name N/A,1,0,1,1.0
CL0034440_OS,Name N/A,1,0,1,1.0
CL0031510_OS,Name N/A,2,0,1,0.5
CL0035466_OS,Name N/A,3,0,1,0.3333333333333333
CL0036221_OS,Name N/A,3,0,1,0.3333333333333333
CL0032643_OS,Name N/A,3,0,1,0.3333333333333333
CL0031441_OS,Name N/A,3,0,1,0.3333333333333333
CL0034746_OS,Name N/A,3,0,1,0.3333333333333333
CL0031238_OS,Name N/A,3,0,1,0.3333333333333333
CL0036879,Jersey knit surplice blouson top,15,0,4,0.26666666666666666
CL0035517,Notch neck contrast trim crepe blouse,24,2,5,0.20833333333333334
CL0036994_OS,Name N/A,5,0,1,0.2
CL0036902_OS,Name N/A,5,0,1,0.2
CL0032689_OS,Name N/A,5,0,1,0.2
CL0033875_OS,Name N/A,5,0,1,0.2
CL0034945_OS,Name N/A,5,0,1,0.2
CL0033715_OS,Name N/A,5,0,1,0.2
CL0036553_OS,Name N/A,6,0,1,0.16666666666666666
CL0029202_OS,Name N/A,6,0,1,0.16666666666666666
CL0034586_OS,Name N/A,6,0,1,0.16666666666666666
CL0035206_OS,Name N/A,7,0,1,0.14285714285714285
CL0034351_OS,Name N/A,7,0,1,0.14285714285714285
CL0032719_OS,Name N/A,7,0,1,0.14285714285714285
CL0036328,Shawl collar sash waist check dress,14,1,2,0.14285714285714285
CL0032558_OS,Name N/A,7,0,1,0.14285714285714285
CL0037206,Long hacci knit open front cardigan,30,0,4,0.13333333333333333
CL0034671_OS,Name N/A,8,0,1,0.125
CL0036419_OS,Name N/A,9,0,1,0.1111111111111111
CL0035969_OS,Name N/A,9,0,1,0.1111111111111111
CL0037208,Hacci knit wrap cardigan,55,8,6,0.10909090909090909
CL0036234_OS,Name N/A,20,0,2,0.1
CL0034742_OS,Name N/A,11,0,1,0.09090909090909091
CL0035063_OS,Name N/A,11,0,1,0.09090909090909091
CL0029854_OS,Name N/A,22,0,2,0.09090909090909091
CL0034326_OS,Name N/A,12,0,1,0.08333333333333333
CL0035146_OS,Name N/A,25,0,2,0.08
CL0036456,Polka dot chambray denim tunic,25,5,2,0.08
CL0031732_OS,Name N/A,26,0,2,0.07692307692307693
CL0035274_OS,Name N/A,13,0,1,0.07692307692307693
CL0033878_OS,Name N/A,13,0,1,0.07692307692307693
CL0034032_OS,Name N/A,13,0,1,0.07692307692307693
CL0032193_OS,Name N/A,13,0,1,0.07692307692307693
CL0034953_OS,Name N/A,14,0,1,0.07142857142857142
CL0034044_OS,Name N/A,14,0,1,0.07142857142857142
CL0035516_OS,Name N/A,14,0,1,0.07142857142857142
CL0034811_OS,Name N/A,15,0,1,0.06666666666666667
CL0035338_OS,Name N/A,15,0,1,0.06666666666666667
CL0034104_OS,Name N/A,15,0,1,0.06666666666666667
CL0029094_OS,Name N/A,15,0,1,0.06666666666666667
CL0035408_OS,Name N/A,16,0,1,0.0625
CL0035365_OS,Name N/A,16,0,1,0.0625
CL0035776_OS,Name N/A,16,0,1,0.0625
CL0032312,Cotton knit fit and flare dress,86,11,5,0.05813953488372093
CL0036866,Pintuck pleat crinkle cotton trapeze dress,123,9,7,0.056910569105691054
CL0029100_OS,Name N/A,18,0,1,0.05555555555555555
CL0036433,Floral embellished poplin maxi dress,396,44,21,0.05303030303030303
CL0036153_OS,Name N/A,19,0,1,0.05263157894736842
CL0032926_OS,Name N/A,19,0,1,0.05263157894736842
CL0034681_OS,Name N/A,19,0,1,0.05263157894736842
CL0032657,Cotton poplin A-line shirtdress,199,23,10,0.05025125628140704
CL0029392_OS,Name N/A,20,0,1,0.05
CL0029259_OS,Name N/A,21,0,1,0.047619047619047616
CL0033460_OS,Name N/A,21,0,1,0.047619047619047616
CL0036541,Truly a wrap poplin top,21,8,1,0.047619047619047616
CL0032311,Cotton knit fit and flare dress,279,30,13,0.04659498207885305
CL0036493,Herringbone crepe sash tied jumpsuit,65,9,3,0.046153846153846156
CL0036808_OS,Name N/A,22,0,1,0.045454545454545456
CL0034459_OS,Name N/A,22,0,1,0.045454545454545456
CL0035752_OS,Name N/A,22,0,1,0.045454545454545456
CL0032925,Tiered cotton voile tunic,133,4,6,0.045112781954887216
CL0036520,Polka dot cotton tunic shirt,67,12,3,0.04477611940298507
CL0035938,Floral embellished check crepe blouse,67,4,3,0.04477611940298507
CL0036429_OS,Name N/A,23,0,1,0.043478260869565216
CL0035808,Contrast banded trim poplin shirtdress,69,6,3,0.043478260869565216
CL0036210_OS,Name N/A,23,0,1,0.043478260869565216
CL0036904,Side button cotton knit skirt,47,8,2,0.0425531914893617
CL0031906,Zip front stretch crepe top,49,3,2,0.04081632653061224
CL0030221_OS,Name N/A,25,0,1,0.04
CL0032939_OS,Name N/A,25,0,1,0.04
CL0034931_OS,Name N/A,25,0,1,0.04
CL0031748_OS,Name N/A,26,0,1,0.038461538461538464
CL0036906,Side button cotton knit skirt,52,8,2,0.038461538461538464
CL0037086,Chevron stripe colorblock maxi dress,236,24,9,0.038135593220338986
CL0035199_OS,Name N/A,79,0,3,0.0379746835443038
CL0036710,Floral button mod shift dress,27,0,1,0.037037037037037035
CL0033156_OS,Name N/A,27,0,1,0.037037037037037035
CL0033895_OS,Name N/A,27,0,1,0.037037037037037035
CL0035378,Floral embellished flutter sleeve georgette  top,55,2,2,0.03636363636363636
CL0034517_OS,Name N/A,83,0,3,0.03614457831325301
CL0034393_OS,Name N/A,28,0,1,0.03571428571428571
CL0035536_OS,Name N/A,28,0,1,0.03571428571428571
CL0034992_OS,Name N/A,28,0,1,0.03571428571428571
CL0032390_OS,Name N/A,28,0,1,0.03571428571428571
CL0036449_OS,Name N/A,58,0,2,0.034482758620689655
CL0037102,Chevron stripe colorblock maxi dress,857,46,29,0.0338389731621937
CL0032519_OS,Name N/A,31,0,1,0.03225806451612903
CL0036660,Jersey knit stripe long shirt,217,8,7,0.03225806451612903
CL0036510,Split neck bunting print top,128,2,4,0.03125
CL0035876_OS,Name N/A,33,0,1,0.030303030303030304
CL0036198_OS,Name N/A,33,0,1,0.030303030303030304
CL0035299,Woven split sleeve blouse,200,18,6,0.03
CL0032624_OS,Name N/A,67,0,2,0.029850746268656716
CL0027619_OS,Name N/A,67,0,2,0.029850746268656716
CL0031294,Banded stripe poplin skirt,101,15,3,0.0297029702970297
CL0037007,Eyelet trim floral print chiffon top,440,3,13,0.029545454545454545
CL0034748_OS,Name N/A,34,0,1,0.029411764705882353
CL0034516_OS,Name N/A,420,0,12,0.02857142857142857
CL0032769_OS,Name N/A,35,0,1,0.02857142857142857
CL0027426_OS,Name N/A,108,0,3,0.027777777777777776
CL0035448_OS,Name N/A,36,0,1,0.027777777777777776
CL0036327,Woven cotton check notch neck dress,72,6,2,0.027777777777777776
CL0032142,Cutout neck crepe top,108,6,3,0.027777777777777776
CL0036845,Cotton knit elastic drawstring skirt,73,6,2,0.0273972602739726
CL0029095,Maritime tee,958,19,26,0.027139874739039668
CL0035993_OS,Name N/A,37,0,1,0.02702702702702703
CL0032729_OS,Name N/A,37,0,1,0.02702702702702703
CL0037198,Chevron stripe colorblock maxi dress,559,64,15,0.026833631484794274
CL0030776,Textured self stripe cotton knit top,75,3,2,0.02666666666666667
CL0036991,Smocked waist jersey knit skirt,227,15,6,0.02643171806167401
CL0032635_OS,Name N/A,38,0,1,0.02631578947368421
CL0035025,Side pleat cotton knit sheath dress,311,11,8,0.02572347266881029
CL0036796_OS,Name N/A,39,0,1,0.02564102564102564
CL0032776_OS,Name N/A,39,0,1,0.02564102564102564
CL0026896_OS,Name N/A,79,0,2,0.02531645569620253
CL0033181,Tie neck stretch crepe blouse,79,2,2,0.02531645569620253
CL0037104,Chevron stripe colorblock maxi dress,396,21,10,0.025252525252525252
CL0035276,Galloping horse jersey knit dress,319,13,8,0.025078369905956112
CL0036756,Eyelet border tie front blouse,80,0,2,0.025
CL0036128_OS,Name N/A,40,0,1,0.025
CL0031265,Chambray denim long skirt,200,16,5,0.025
CL0031423,Cotton poplin wrap blouse,81,8,2,0.024691358024691357
CL0035325_OS,Name N/A,41,0,1,0.024390243902439025
CL0034012_OS,Name N/A,41,0,1,0.024390243902439025
CL0035788_OS,Name N/A,41,0,1,0.024390243902439025
CL0031680,Piped trim cotton knit dress,291,26,7,0.024054982817869417
CL0026686_OS,Name N/A,42,0,1,0.023809523809523808
CL0035080,Roll tab sleeve pullover shirt,42,8,1,0.023809523809523808
CL0034372_OS,Name N/A,42,0,1,0.023809523809523808
CL0034273,Heart print cotton cambric shirt,299,11,7,0.023411371237458192
CL0034625_OS,Name N/A,43,0,1,0.023255813953488372
CL0036425_OS,Name N/A,43,0,1,0.023255813953488372
CL0036267,Amelia dress,43,1,1,0.023255813953488372
CL0033754,Folk embellished cotton knit top,474,11,11,0.023206751054852322
CL0036373,Red polka dot print cotton dress,173,9,4,0.023121387283236993
CL0031975_OS,Name N/A,44,0,1,0.022727272727272728
CL0034478_OS,Name N/A,44,0,1,0.022727272727272728
CL0035660_OS,Name N/A,88,0,2,0.022727272727272728
CL0035635_OS,Name N/A,44,0,1,0.022727272727272728
CL0035572,Colorblock yoke cotton knit dress,90,4,2,0.022222222222222223
CL0034919,Leafy vine embellished crepe dress,544,9,12,0.022058823529411766
CL0036467,Angled hem drape front tee,184,2,4,0.021739130434782608
CL0036766,Bold stripe contrast trim knit top,379,14,8,0.021108179419525065
CL0035924,Abstract print metal zip front shirtdress,48,5,1,0.020833333333333332
CL0025882_OS,Name N/A,48,0,1,0.020833333333333332
CL0035693_OS,Name N/A,48,0,1,0.020833333333333332
CL0031348_OS,Name N/A,48,0,1,0.020833333333333332
CL0031790,Birdcage cotton knit dress,635,33,13,0.02047244094488189
CL0036477,Seersucker stripe notch neck dress,3478,178,71,0.020414031052328925
CL0033409,Ponte knit maxi skirt,49,2,1,0.02040816326530612
CL0034854_OS,Name N/A,49,0,1,0.02040816326530612
CL0033536_OS,Name N/A,50,0,1,0.02
CL0037247,Name N/A,50,2,1,0.02
CL0036415_OS,Name N/A,50,0,1,0.02
CL0033295_OS,Name N/A,50,0,1,0.02
CL0036721,Split neck cotton knit tunic,100,9,2,0.02
CL0029203,Drape neck cotton knit dress,753,35,15,0.0199203187250996
CL0034117_OS,Name N/A,101,0,2,0.019801980198019802
CL0034815,Heart embellished cotton knit wrap dress,305,11,6,0.019672131147540985
CL0035179_OS,Name N/A,51,0,1,0.0196078431372549
CL0035145_OS,Name N/A,51,0,1,0.0196078431372549
CL0036703,Button front geo print knit tunic,768,15,15,0.01953125
CL0034986_OS,Name N/A,52,0,1,0.019230769230769232
CL0032513,Embellished graphic print poplin dress,52,0,1,0.019230769230769232
CL0032313,Cotton knit fit and flare dress,1426,91,27,0.018934081346423562
CL0029094,Knot front knit top,265,13,5,0.018867924528301886
CL0033094_OS,Name N/A,53,0,1,0.018867924528301886
CL0030165_OS,Name N/A,106,0,2,0.018867924528301886
CL0033962,Pintuck pleat front stretch crepe blouse,215,6,4,0.018604651162790697
CL0036192,Feminine pleated cotton knit dress,914,25,17,0.018599562363238512
CL0031595,Bow-front corset style maxi dress,269,5,5,0.01858736059479554
CL0035813_OS,Name N/A,54,0,1,0.018518518518518517
CL0029776_OS,Name N/A,54,0,1,0.018518518518518517
CL0030535,Sweetheart surplice cotton knit top,655,31,12,0.0183206106870229
CL0034512_OS,Name N/A,55,0,1,0.01818181818181818
CL0036525,Desert rose tie front crepe palazzo pants,55,2,1,0.01818181818181818
CL0036318,Reversible cotton voile check shirtdress,110,24,2,0.01818181818181818
CL0029090,Pleated trellis knit top,278,12,5,0.017985611510791366
CL0036300,Stretch crepe satin long tunic,167,0,3,0.017964071856287425
CL0030128,Pleated empire waist crepe blouse,335,13,6,0.01791044776119403
CL0031019_OS,Name N/A,56,0,1,0.017857142857142856
CL0031788_OS,Name N/A,56,0,1,0.017857142857142856
CL0034197_OS,Name N/A,56,0,1,0.017857142857142856
CL0033278,Wrap peplum knit blouse,113,5,2,0.017699115044247787
CL0035628,Corset style dot dobby knit dress,340,7,6,0.01764705882352941
CL0030032,Cotton knit curved waist dress,864,27,15,0.017361111111111112
CL0031259,Virginia dress,231,29,4,0.017316017316017316
CL0030535_OS,Name N/A,58,0,1,0.017241379310344827
CL0036420,Polka dot drawstring waist tunic,348,10,6,0.017241379310344827
CL0031930,Belted cotton knit skirt,525,29,9,0.017142857142857144
CL0031292,Retro poplin shirtdress,468,74,8,0.017094017094017096
CL0036607,Stripe embellished waistband knit dress,410,7,7,0.01707317073170732
CL0036439,Cowl neck light jersey tunic,821,47,14,0.01705237515225335
CL0033181_OS,Name N/A,59,0,1,0.01694915254237288
CL0025799_OS,Name N/A,118,0,2,0.01694915254237288
CL0027920_OS,Name N/A,59,0,1,0.01694915254237288
CL0033596_OS,Name N/A,59,0,1,0.01694915254237288
CL0032845_OS,Name N/A,297,0,5,0.016835016835016835
CL0034431,Two tone curved waist knit dress,358,14,6,0.01675977653631285
CL0033122,Sash tie cotton knit shirt,239,18,4,0.016736401673640166
CL0036009,Obi sash belt gingham check cotton shirtdress,60,2,1,0.016666666666666666
CL0035564_OS,Name N/A,60,0,1,0.016666666666666666
CL0035721_OS,Name N/A,60,0,1,0.016666666666666666
CL0036454,Stripe cotton knit oversized tee,670,8,11,0.016417910447761194
CL0034628_OS,Name N/A,61,0,1,0.01639344262295082
CL0035765_OS,Name N/A,61,0,1,0.01639344262295082
CL0031754,Banded waist cotton knit dress,491,22,8,0.016293279022403257
CL0037151,Sash tie drape front knit cardigan,800,19,13,0.01625
CL0036016,Cap sleeve cotton poplin shirt,681,19,11,0.016152716593245228
CL0036507_OS,Name N/A,62,0,1,0.016129032258064516
CL0036092,Paisley print georgette handkerchief hem dress,124,0,2,0.016129032258064516
CL0034281,Floral applique graphic print top,63,4,1,0.015873015873015872
CL0035943_OS,Name N/A,63,0,1,0.015873015873015872
CL0035171_OS,Name N/A,63,0,1,0.015873015873015872
CL0035758,Graphic print cotton sateen blouson dress,189,10,3,0.015873015873015872
CL0032858,Retro cotton poplin shirtdress,695,12,11,0.015827338129496403
CL0036423,Mitered stripe print top,316,9,5,0.015822784810126583
CL0037004,Crinkle cotton elastic waist skirt,509,22,8,0.015717092337917484
CL0032867,Button front chambray denim skirt,640,38,10,0.015625
CL0030444_OS,Name N/A,64,0,1,0.015625
CL0034401,Chambray denim scallop trim shirt,775,16,12,0.015483870967741935
CL0028735,Keyhole surplice ponte top,196,4,3,0.015306122448979591
CL0031265_OS,Name N/A,66,0,1,0.015151515151515152
CL0036489,Elastic belted jersey knit dress,265,24,4,0.01509433962264151
CL0036539,Woven check cap sleeve shirt,468,34,7,0.014957264957264958
CL0035638_OS,Name N/A,67,0,1,0.014925373134328358
CL0033962_OS,Name N/A,67,0,1,0.014925373134328358
CL0036715,Piped trim cotton sateen dress,271,10,4,0.014760147601476014
CL0036728,Candy print trapunto yoke top,272,3,4,0.014705882352941176
CL0030433_OS,Name N/A,136,0,2,0.014705882352941176
CL0035664_OS,Name N/A,68,0,1,0.014705882352941176
CL0031741,Olivia dress,273,23,4,0.014652014652014652
