query,hits,clicks,clickThroughs,ctr,carts,orders,overall_score
pink ,3971,330,93,2.34,18,0,4319
Chambray,612,1360,447,73.04,145,8,2125
Victoria dress-Prussian blue,24,91,11,45.83,1330,0,1445
",maxi",378,888,286,75.66,117,13,1396
white dresses,486,800,310,63.79,73,1,1360
green ,376,723,237,63.03,64,9,1172
birds,350,626,235,67.14,78,4,1058
Reds,332,621,151,45.48,68,1,1022
black dresses,303,655,233,76.9,42,2,1002
Maxi dresses,327,633,237,72.48,30,1,991
white ,282,610,193,68.44,67,1,960
Knit ,234,632,167,71.37,91,2,959
but dress,247,632,96,38.87,71,0,950
lace ,268,519,167,62.31,67,2,856
Poplin ,204,575,157,76.96,61,5,845
tunics,234,528,151,64.53,75,6,843
Chevron ,284,449,223,78.52,72,7,812
Purple,340,416,151,44.41,29,0,785
denim ,229,502,161,70.31,45,3,779
yellow ,255,466,146,57.25,42,3,766
Jersey ,131,573,93,70.99,55,2,761
Shirtdress ,226,467,166,73.45,65,1,759
Green dresses,259,438,154,59.46,32,1,730
Empire,161,523,127,78.88,43,0,727
blues,220,432,135,61.36,59,2,713
Red dress ,232,425,147,63.36,43,3,703
Sheath ,203,449,121,59.61,32,2,686
Havana ,232,396,141,60.78,42,1,671
navy,192,444,128,66.67,29,0,665
Jacket ,216,395,108,50.0,29,4,644
Black ,153,434,110,71.9,43,2,632
retro ,87,301,60,68.97,228,2,618
gingham in green and white,601,0,0,0.0,0,0,601
grey,480,89,28,5.83,10,0,579
Tulle,207,334,132,63.77,31,2,574
floral ,166,335,105,63.25,60,2,563
Polka dot ,177,339,113,63.84,40,0,556
Fit and flare,93,310,70,75.27,149,1,553
crepe ,114,348,82,71.93,65,1,528
grey dress,435,65,29,6.67,7,0,507
Blue dresses ,181,300,108,59.67,22,1,504
wrap ,141,310,86,60.99,47,5,503
Chelsea ,164,306,111,67.68,27,1,498
Stripes,137,293,99,72.26,54,4,488
knit dresses,112,318,80,71.43,55,0,485
purple dress,152,289,104,68.42,22,3,466
Gingham ,138,285,83,60.14,37,1,461
Havana Dresses,89,309,71,79.78,32,6,436
empire  waist dresses,81,311,64,79.01,40,2,434
Shift ,92,311,65,70.65,21,1,425
Kayla ,129,234,99,76.74,52,1,416
Wrap dresses,114,260,84,73.68,24,2,400
Flamingo ,166,205,76,45.78,24,4,399
