query,hits,clicks,clickThroughs,ctr,carts,orders,hit_to_order_rate,click_to_order_rate,cart_to_order_rate
",maxi",378,888,286,75.66,117,13,0.03439153439153439,0.01463963963963964,0.1111111111111111
green ,376,723,237,63.03,64,9,0.023936170212765957,0.012448132780082987,0.140625
Chambray,612,1360,447,73.04,145,8,0.013071895424836602,0.0058823529411764705,0.05517241379310345
Sash waist chambray dress-Indigo,24,73,11,45.83,28,7,0.2916666666666667,0.0958904109589041,0.25
Chevron ,284,449,223,78.52,72,7,0.02464788732394366,0.015590200445434299,0.09722222222222222
Havana Dresses,89,309,71,79.78,32,6,0.06741573033707865,0.019417475728155338,0.1875
tunics,234,528,151,64.53,75,6,0.02564102564102564,0.011363636363636364,0.08
Plaid ,141,165,47,33.33,23,5,0.03546099290780142,0.030303030303030304,0.21739130434782608
Amelia ,116,209,84,72.41,31,5,0.04310344827586207,0.023923444976076555,0.16129032258064516
Chevron stripe colorblock dress-Spring green/black/cream,20,52,16,80.0,33,5,0.25,0.09615384615384616,0.15151515151515152
Grecian ,20,30,13,65.0,18,5,0.25,0.16666666666666666,0.2777777777777778
Poplin ,204,575,157,76.96,61,5,0.024509803921568627,0.008695652173913044,0.08196721311475409
Denim chambray dresses,51,170,43,84.31,74,5,0.09803921568627451,0.029411764705882353,0.06756756756756757
wrap ,141,310,86,60.99,47,5,0.03546099290780142,0.016129032258064516,0.10638297872340426
Stripes,137,293,99,72.26,54,4,0.029197080291970802,0.013651877133105802,0.07407407407407407
Kayla dress-Deep navy,59,59,18,30.51,25,4,0.06779661016949153,0.06779661016949153,0.16
Cotton knit dresses,48,74,27,56.25,18,4,0.08333333333333333,0.05405405405405406,0.2222222222222222
Jacket ,216,395,108,50.0,29,4,0.018518518518518517,0.010126582278481013,0.13793103448275862
birds,350,626,235,67.14,78,4,0.011428571428571429,0.006389776357827476,0.05128205128205128
Flamingo ,166,205,76,45.78,24,4,0.024096385542168676,0.01951219512195122,0.16666666666666666
Pleat front chambray denim maxi dress-Indigo,37,98,19,51.35,41,3,0.08108108108108109,0.030612244897959183,0.07317073170731707
purple dress,152,289,104,68.42,22,3,0.019736842105263157,0.010380622837370242,0.13636363636363635
Chevron stripe colorblock maxi dress-Juniper green/white/deep navy,63,122,31,49.21,23,3,0.047619047619047616,0.02459016393442623,0.13043478260869565
shift dresses,55,120,35,63.64,21,3,0.05454545454545454,0.025,0.14285714285714285
Grace dress	,65,154,46,70.77,22,3,0.046153846153846156,0.01948051948051948,0.13636363636363635
